,texts
1806,"У меня были частые проблемы с едой. Прошла анорексию и булимию, долго лежала в больнице. Сейчас при росте 160 мой вес 57 кг. Недавно отец сказал: ""Че-то ты поправилась, доча, после родов. Совсем за собой не следишь"". Сам весит за сотню. Теперь ни один кусок не лезет в горло, поделать ничего не могу, опять не ем. За что?..

#Подслушано_жестокость@overhear"
1807,"Я молодой специалист, работаю в универе. Время сессии, торчу на кафедре, жду должников. Стук в дверь, входит Он. Метра под два ростом, косая сажень в плечах, брюнет, на морду лица ниче такой. В костюме тройке, с кожаным портфелем — как с обложки журнала. Я думаю: ""Ммм, у нас на кафедре пополнение"". Уже в мечтах про дом, дерево и далее по списку. Тут это пополнение открывает рот и басом вещает: ""Здрасте, я Иванов Иван, пришёл зачёт сдавать!"" Открываю зачётку, там 2004 год рождения. Блять.

#Подслушано_провал@overhear"
1808,"Когда была беременна на раннем сроке, укачало в автобусе. Пришлось выскочить на остановке и от души проблеваться за ней, благо, людей не было и меня никто не видел. Спустя 12 лет еду на маршрутке, разыгралась мигрень, да такая, что приступ тошноты накатил. Я выскакиваю на ближайшей остановке и блюю. Остановка оказалась та же самая)"
1809,"Мечтаю, чтобы родители разошлись. Отец любит другую женщину, но она требует развода родителей, и чтобы он подождал, пока её дети вырастут, и чтобы её родня ничего не узнала. Он остался с матерью, мучается и не может её терпеть, опять пишет любовнице, хоть наобещал матери, что всё окончено. Отец остаётся с матерью, ему же так удобно, а она хочет, чтобы он ушел, не мучил её. Сама уходить не собирается, хочет, чтобы всё имущество за её 30 лет жизни осталось нам с сестрой. Переживаю, хочу спокойствия.

#Подслушано_семья@overhear"
1810,"Летом уехала в отпуск с подругой, в квартире остался парень с кошкой. На четвёртый день отпуска парень пишет, что моя любимая кошка выпрыгнула из окна и погибла. Я разбита, оставшийся отпуск испорчен. Прилёт выпал на мой день рождения, захожу в квартиру и меня встречает парень, протягивая мою живую кошку со словами: ""С днём рождения, дорогая!"" Съехали на съёмную квартиру с кошкой.

#Подслушано_жестокость@overhear"
1811,"У меня была семья и всё, что к ней прилагается. Было и хорошее, и плохое в семейной жизни, всё, как у всех. И в один момент мне стало скучно. Меня заел быт, заели семейные проблемы, заела жена. 
Мне захотелось бабочек в животе, ярких, новых ощущений и жизни свободной. Я ушёл из семьи, не жалея ни о чем. 
И вот спустя три года я сижу на съёмной хате с бутылкой водки и вою на Луну оттого, что всё, что у меня было, — это и есть счастье и свобода. И всё, что мне нужно, — это моя семья. Только вот своей семье я уже, увы, не нужен.

#Подслушано_провал@overhear"
1812,"Недавно молодой человек развел меня на секс в раздевалке магазина нижнего белья. Надо было видеть, какое ошарашенное лицо было у консультантки, когда она открыла дверь на мои стоны...

#Подслушано_пошлое@overhear"
1813,"Вышла покурить на лестничную клетку, стою, никого не трогаю, и тут выходит бабка с верхнего этажа и давай ругаться, выгонять, называть тупорылой, недоразвитой и т.д. Я только смиренно слушаю и говорю, что сейчас уйду. В ответ мне раздается, что вся молодежь — хамло.
Я, конечно, всё понимаю, я не права, курить в подъездах нельзя и тому подобное, но, блин, о каком уважении старших идет речь, если человек даже спокойно попросить не может, а только орет? И это не единственный случай, когда я и слова плохого не сказав, слышу от старушек, какие мы все, молодые, плохие. Меня даже не бесит, а просто искренне удивляет, что можно вылить столько говна и ещё требовать уважения."
1814,"Когда с мужем были проблемы, решили какое-то время пожить раздельно, а потом снова сошлись и живём счастливо. Теперь сестра меня ненавидит, потому что ""из-за такого муж с ней развелся и теперь называет блядью"". Не знаю, как донести до нее, что пожить пару месяцев раздельно по обоюдному согласию и просто исчезнуть на несколько лет, а вернуться с ребёнком — это как бы разные вещи.

#Подслушано_семья@overhear"
1815,"Очень раздражает, когда люди считают, что если мы хорошо общаемся, мы должны друг другу доверять, рассказывать всё и листать телефоны и переписки друг друга. Была у меня одна такая: листала мою галерею, а когда я забирала телефон, обижалась. Обижалась, когда я не рассказывала ей чего-то. Помню, я даже узнала, как они с другой девочкой скидывали друг другу свои сиськи. Не, ну я, конечно, всё понимаю, очень близкие, давно знакомы, но это слишком. Пусть идут на хуй, я как-нибудь без них проживу.

#Подслушано_дружба@overhear"
1816,"После родов наложили несколько швов, как внутренних, так и внешних. Врач, когда зашивала, загадочно улыбалась, а когда закончила, сказала: ""Я тут мужу привет передала!"" — и посмеялась. На днях в первый раз с мужем занимались сексом. Смысл слов врача стал очень понятен, когда у нас обоих было ощущение, что меня снова лишают девственности))) Муж сказал, что таких выразительных глаз у меня ещё никогда не было! 

#Подслушано_пошлое@overhear"
1817,"Три года вместе. Бывало всякое. Ругались, сходились и расходились. Никогда надолго, все-таки любим друг друга. И вот ковид у меня запустил аллергию на её собакена, к которому я привязан не меньше, чем она сама. Лечение не помогает. Состояние ухудшается, астма на горизонте. Приговор врача — изолировать животное. Я знаю, друга она не бросит, да и не в праве я от неё этого требовать. Сидим молча, перевариваем, понимаем оба, что конец.

#Подслушано_собаки@overhear"
1818,"Мой отец — человек очень тяжёлого характера. Моется раз в 2-3 недели. Говорит, что он чистый, кирпичи не таскает. Убедить в том, что это гигиена, что через поры ежесекундно выделяется пот — бесполезно. Проветривать не любит, зачем жар выпускать! Сидит в своей духоте 30 градусов, притом удивляется, почему никто к нему в гости не приходит.

#Подслушано_фууу@overhear"
1819,"Как-то раз шла я по улице, было уже темно, зимний вечер. И тут мне на встречу бежит девушка. У неё на лице была царапина, одежда в крови. Она ко мне подбежала и говорит: ""Помогите! Меня муж сейчас убьёт!"" Я в страхе вообще не сообразила, что нужно делать. Потом к нам прибегает этот муж и берёт девушку за волосы. Я пыталась их отцепить. Отцепила. Девушка плачет, потом они разговаривают минут 20 при мне. Затем они уходят, говоря, что у них всё в порядке! В порядке, блин! Я до смерти испугалась!

#Подслушано_странное@overhear"
1820,"Бесит! Мой муж не умеет сделать ничего по дому в плане починки кранов, ванн, труб и прочего. Вызвал, блять, мастера! Он поменял кран, сломав нам раковину, а муж спокойно заплатил, приняв извинения! Я юрист, но я не полезла, ведь он же мужик, и сказал, что я всегда лезу, сам решит. Решил. Кран новый стоит! Блестит! На раковине трещина, потрачено 3000 руб.

#Подслушано_БЕСИТ@overhear"
1821,"У моего мужа очень маленький член. Чтобы хоть как-то чувствовать его во время секса, незадолго до него выпиваю много жидкости, чтобы хотеть в туалет. В итоге ощущения есть, правда в конце еле сдерживаюсь, чтобы не обоссаться. Однажды всё-таки не сдержалась, но муж подумал, что это сквирт, и был даже горд собой. Так что всё хорошо.

#Подслушано_пошлое@overhear"
1822,"Недавно произошёл наимерзейший случай в моей жизни. 
Муж принёс от друзей рыбу. Она была очень вкусная, но по консистенции немного странная. Съели рыбу, выпили пиво, посмотрели фильм. Закрутилось, завертелось, пошли в кровать, я сверху, нам хорошо, пока муж не заорал: ""ТЫ СРЁШЬ, БЛЯ!"" Опускаю глаза вниз и вижу, что я ему засрала каким-то маслом ВСЁ. Оказалось, друзья по приколу дали мужу масляную рыбу — рувету, которая не переваривается в организме. В тот день мы засрали и одежду, и отношения.

#Подслушано_фууу@overhear"
1823,"Несколько лет назад из-за измены жены случился развод. С тех пор полностью пропало желание заниматься сексом. Какое-то время пользовался препаратами, но, кроме эрекции, они ничего не дают, от близости нет никакого удовольствия. Вроде в жизни всё неплохо, я в расцвете сил, обеспечен, женским вниманием не обделён; женись, живи и радуйся, но какая радость женщине от этого, если мужик фригидный? Тупик.

#Подслушано_провал@overhear"
1824,"Раньше я думала, что только очень богатые девушки или бизнес-леди могут стать жертвами альфонсов. Оказалось, что в мире есть мужчины, для которых и девушка со средней столичной зарплатой за счастье. 
Познакомилась с парнем, очень бурно развивался роман. Он из небольшого города, при этом эрудирован, интересен, внешне привлекателен. Я даже представить не могла, что как-то могу интересовать его в денежном плане. Я обычно зарабатываю, квартира съёмная, одеваюсь не в бренды, машина старенькая… Тем не менее бывший стал потихоньку то намёками, а потом и напрямую просить деньги. Придумывать какие-то сказки про начальников, которые обманули с зарплатой, про какую-то маму, которой срочно надо на лечение. Ну давала я какие-то копейки (обмельчали нынче альфонсы), ну еду покупала, за аренду не брала с него. Бесилась, конечно… Но какой же был с ним секс! Какой я себя чувствовала желанной, какой красивой. 
Когда я перестала давать деньги, он слился. Сразу же. Хладнокровно, даже взгляд на меня изменился, как на предмет интерьера смотрел, хотя неделю назад в любви клялся. Как выяснилось позже, ушёл он к женщине на восемь лет старше. И богаче, конечно. А я сижу и смотрю в одну точку. У меня до него очень долго не было отношений, я уже и поверить не могла в то, что кто-то может меня полюбить. И тут мне от жизни прилетело этому подтверждение.

#Подслушано_алчность@overhear"
1825,"Семь утра. Мой выходной. Звонит начальник, просит выйти на смену, так как коллега не сможет. 
— Что, опять заболела? Или живот прихватило? Или ещё что? — ехидно спрашиваю я. 
— Нет, она только что разбилась на машине по дороге на работу. 
Очень стыдно. Конечно, я вышел на смену.

#Подслушано_чернуха@overhear"
1826,"Я с кем-то общаюсь через батарею. Каждую ночь кто-то скребётся, будто нежно проводит по своей батарее железкой, раз в полчаса-час. Звуки хаотичны, это точно кто-то, а не что-то. Сначала думала, что шумлю, но и в полной тишине неизвестный это проделывает. Не знаю, ребёнок это, извращенец какой-то, просто одинокий человек или собака чешется, но уже привыкла отвечать. Мужа тоже попросила, он поддержал идею, угораем. Но если это просьба о помощи, человек наверняка меня проклинает уже месяц.

#Подслушано_соседи@overhear"
1827,"Познакомился с девушкой в интернете. Без лица, без описания, но пообщался и решил рискнуть и встретиться. Оказалась очень даже милой, 20 лет (мне 25), общались весь вечер. На второй встрече уже всю ночь занимались сексом. Наутро говорит: ""Знаешь, а я замужем! Ему 33 года"". Я завис, долго размышлял, а потом решил, что ладно, это её выбор, я ничего от неё не жду, просто отличный секс. Так и продолжали: отличный секс и времяпровождение. А теперь она хочет знакомить с друзьями и со своим мужем и не понимает отказа…

#Подслушано_странное@overhear"
1828,"Мне было лет пятнадцать. Ехала я в поезде Москва—Тольятти к бабушке на дачу. У меня был чемоданчик с вещами да коробка... с живым голубем внутри. Я нашла его на нашем балконе, выходила и везла выпустить на даче. Со мной в купе ехала женщина. Ночь, голубь начал яростно долбиться в коробке, женщина проснулась. Я не знаю, зачем я это сделала, но, медленно повернув голову в её сторону, тихо произнесла: ""А вы в Бога верите?"" Казалось, в темноте я видела, как сверкали её пятки..."
1829,"У меня критические дни, мой мужчина попросил разрешения достать тампон. Ему очень хотелось самому это сделать. Я какое-то время колебалась, но поняла, что его это прямо заводит. А меня заводит, когда он весь аж дрожит от желания, а ещё было любопытно, каково это. Позволила. Хотя всегда считала, что мужчина и женские средства гигиены не должны во вселенной пересекаться. Вот сейчас сижу и немного офигеваю: нормальные ли мы?..

#Подслушано_похоть@overhear"
1830,"Тугоухость с рождения, инвалидность и прилагающиеся к ней льготы. Очень недоумеваю от вроде бы взрослых людей, которые говорят, что мне везёт, к примеру, с бесплатным проездом. Всегда дружелюбно отвечаю: ""Поковыряйте в ушах гвоздиком, тогда ""повезёт"" и вам"".

#Подслушано_БЕСИТ@overhear"
1831,"Когда я училась в пятом классе, попала в больницу. Тяжело выкарабкивалась, лежала в реанимации. Когда очнулась после всего ужаса в боксе, моя мама положила мне на кровать стопку писем. Оказалось, моя учительница русского языка, ветеран войны, которая очень ко мне хорошо относилась, попросила мой класс написать мне письма поддержки, вместо диктанта. Потом письма передала моим родителям. Мне уже скоро 40 лет, а я до сих пор их храню в отдельном шкафчике.

#Подслушано_добро@overhear"
1832,"До девяти лет я носила мамину девичью фамилию — Виноградова, но мама решила выйти замуж и сменить фамилию и себе, и мне заодно. Так я стала Вагиной. Меня начали чудовищно травить в школе, насмешки сыпались даже от учителей, мне было стыдно откликаться и называться этой фамилией, потому что для всех я стала просто Пиздой. В 18 лет я поменяла фамилию обратно на Виноградову, но моя мама, которая теперь зовётся Борщ, посчитала это несправедливым по отношению к почившему отчиму, который нас бил, кстати.

#Подслушано_кино@overhear"
1833,"С четырёх до 16 лет я воспитывалась в детском доме. За 12 лет мать навестила всего один раз — это когда я пошла в первый класс. Сейчас мне 30 лет, и у матери съехала кукуха. Она очень удивлена, что я не имею желания выхаживать её и возить по больницам. Что посеешь, то и пожнёшь 🤷🏽‍♀️

#Подслушано_семья@overhear"
1834,"В далёком детстве ходила в воскресную школу. Давно уже ни во что не верю, но осталась, например, привычка читать молитву перед сном. Сейчас это что-то вроде упражнения: поблагодарить за хорошее, подумать о планах на завтра, вспомнить людей, которые по-настоящему дороги. В том числе в детстве молилась за упокой душ бабушки и дедушки (называла их имена). Прошло каких-то 20 лет, а имена в этой молитве я перечисляю уже почти полчаса. Боюсь, что скоро вообще до утра буду перечислять(("
1835,"Я всегда дико боялась всех пауков, кроме совсем малюсеньких а-ля микробик. 
Пока однажды летом не увидела, как за городом полосатый паук сплёл красивенную паутину на кусте жимолости. Паутина целый день висела скатертью меж веток, а после дождя переливалась алмазными капельками. До того мне стало любопытно наблюдать за работой членистоногого, что я стала подкидывать ему убитых газетою мух. Всю добычу паук любовно окутывал паутиной и раскладывал по углам своей скатерти-самобранки. 
Как-то раз пронёсся сильнейший град, и паутину порвало. Больше паучок на кусте не появлялся. Было обидно 😞

#Подслушано_дружба@overhear"
1836,"Подруга была высококлассным врачом, сочувствующим пациентам. Ей порой удавалось спасти даже безнадёжно больных, убедив их не опускать руки и борясь вместе с ними, подбирая схемы лечения и настойчиво отслеживая все реакции организма. Вот только родить она никак не могла и усыновила отказного ребёнка. Сына растили с мужем, вкладывая душу, силы и деньги. Но, когда он подрос, оказалось, что генетика подкачала: сын — вор. Теперь она перегорела и стала обыденным врачом, равнодушным к пациентам.

#Подслушано_страшное@overhear"
1837,"У меня две девушки, живём вместе. Изначально жили парой, захотели разнообразить интимную жизнь, и моя девушка предложила ЖМЖ. Я не любитель подобного, но согласился попробовать. Приглашённая девушка оказалась интересной личностью, сразу возникла взаимная симпатия, и я честно признался в этом своей девушке. Она злилась, плакала, а потом предложила жить втроём. Сплю в двух спальнях по очереди — тройнички оказались не моим приколом. Но факт, что у меня каждую ночь есть выбор, не может не радовать."
1838,"Мой муж работал в одной компании, где его невзлюбило руководство. Постоянно докапывались до мелочей, штрафы выписывали. Зарплата была хорошая, поэтому муж терпел и старался подстроиться под требования руководства. Но ничего не помогало — претензии постоянно менялись. Муж психанул, уволился, устроился в контору, которой подчиняется предыдущая его компания, и устроил им бюрократический ад.

#Подслушано_месть@overhear"
1839,"Моя старшая сестра продала свою старую машину своему сыну, он за неё расплачивался несколько лет. А я своему и машину подарила, и квартиру. 
Какое же разное понимание воспитания детей в одной семье.

#Подслушано_семья@overhear"
1840,"Мой муж тщательно выбирает подарок на каждый день рождения своей замужней коллеге, делящей с ним бюро, но при этом спокойно забывает вот уже о второй годовщине нашей свадьбы.

#Подслушано_провал@overhear"
1841,"Трёшку рядом со мной долго занимали бомжи, но год назад её купил какой-то парень. Так за год я так и не понял, кто он, что он и зачем ему квартира вообще! Он приходит пару дней в неделю в рандомное время (то ночью, то утром), проводит несколько часов или дней и исчезает. У него не было посетителей, нет телевизора, радио, я никогда не слышал, чтобы он говорил по телефону. Вообще никаких звуков, а стены-то тонкие! Ремонт он не делал, просто вывез всё на помойку. Похоже, и мебели у него тоже нет.

#Подслушано_соседи@overhear"
1842,"Мы с родителями никогда не были очень дружны, но вполне себе хорошо общались, и я часто к ним приезжала, старалась помогать по возможности, сладости возила. Ни больших конфликтов, ни каких-то косяков с моей стороны. Когда их не стало, выяснилось, что квартиру, дачу и машины отдали в наследство какой-то девушке, которую я в глаза не видела и о которой не слышала ни разу. Она объяснять ничего не хочет, везде я у неё в чёрном списке, она грозится полицией. А я просто пытаюсь понять, что это за бред такой, кто она, почему так?..

#Подслушано_странное@overhear"
1843,"Учились с парнем на первом курсе универа, жили раздельно, для рандеву сняли квартиру. Подготовилась, пришла при полном параде, в сумочке смазка и анальные шарики. В разгар бурной ночи хочет взять меня сзади, говорю ему, чтобы взял лубрикант. Темно, слышу, что выдавил полтюбика, нанёс на член... А дело не идёт. И так пробовали, и по-другому... Страсть, кровь кипит, но не получается! Психую, иду в душ, думаю: ""Ну что за неумеха?!"" Тональный крем это был, а не смазка. Хорошо хоть, что не «Финалгон».

#Подслушано_пошлое@overhear"
1844,"Мечтала о МЖМ, но парню никогда не говорила, так как предыдущие отношения из-за этого дали трещину. Однажды он сам предложил, я для вида поломалась, а в душе визжала от счастья. Всё обсудив, решили с его старым другом — анализы сдаст, видятся редко, есть такой опыт. В день Х парня перекрыло. Не в процессе, а после, когда друг ушёл. Я лежала на кровати и смотрела, как парень собирает вещи и орёт, что я должна была остановить его. Мне очень обидно и грустно, но рассказать кому-то боюсь — осудят.

#Подслушано_провал@overhear"
1845,"Я замужем, недавно начала спать с другими мужчинами. Всё случилось по инициативе мужа: его заводила фантазия быть наблюдателем, попросил меня об этом, а мне стало ну очень интересно попробовать. За четыре месяца было 13 партнёров, с некоторыми встречи повторяли. Я не знаю, почему мне это ТАК нравится, ведь в жизни я всегда была моногамной и верной, спала до мужа всего с двумя. Но настроение теперь чудесное, на лице улыбка, похудела, и глаза светятся!

#Подслушано_похоть@overhear"
1846,"Я вышла замуж за мужчину, у которого есть сын (14 лет). В начале совместного проживания всё было чудесно, но теперь моя жизнь — кошмар: парень неуправляем, в доме срач, водит друзей, дерзит. Этот зверёныш, натравленный своей мамашей, говорит мне гадости, когда не слышит муж, язвит и оскорбляет, клянчит деньги у родителей мужа, продал втихаря ноут, хотя денег ему даём по несколько тысяч в неделю. Супруг мне не верит, защищает сына, говорит, что наговариваю на него. Собиралась уйти, но узнала, что беременна. Неудачница((

#Подслушано_провал@overhear"
1847,"Я секретарша успешного бизнесмена. Его жена — моя однокурсница. Она милая и добрая женщина, а её муж — кобель. Каждый месяц новая любовница. Я организовываю его встречи с любовницами и слежу за блядовитой жизнью. Конечно, кроме зарплаты получаю ещё столько же в конверте за дополнительную помощь и молчание. В месяц выходит прилично, за год купила машину чисто на вторую зарплату. А ещё он свой бизнес оформил на мать. Жаль его жену, но мой рот закрыт конвертом.

#Подслушано_работа@overhear"
1848,"Самый невозмутимый человек, которого я встречала в своей жизни, — девушка, сидящая впереди меня в автобусе. Стоящая в проходе женщина воскликнула: ""Девушка, у Вас таракан в волосах!"" — а она просто стряхнула его, раздавила ногой и ехала дальше с покерфейсом...

#Подслушано_наблюдения@overhear"
1849,"Не понимаю, почему люди восхищаются теми, кто бросил пить, курить, играть в азартные или компьютерные игры. Это они сами добровольно встали на путь зависимости, никто им в рот не совал гадость и не угрожал смертью. Нет в них силы воли, о которой говорят. Были бы сильными — не начали бы; а если уже как бы достали до дна, значит, не просто слабые, но и жалкие. По-настоящему сильные люди никогда не будут искать утешение в зависимости, а те, что бросили зависимость, просто исправляли свои же ошибки.

#Подслушано_наблюдения@overhear"
1850,"Никогда не понимал, почему мужчины пытаются довести до оргазма каждую свою пассию. У меня не получалось, и я не расстраивался, так как женщинам ведь достигнуть пика гораздо сложнее, чем мужчинам. Но всё изменилось. Появилась ОНА. Теперь мне каждый раз хочется довести её до оргазма, чтобы ещё раз увидеть её светящиеся глаза, её красиво извивающееся тело, а самое главное — её полное удовлетворения лицо, которое в этот момент выглядит очень беззащитным. Чувствую себя настоящим мужчиной!

#Подслушано_пошлое@overhear"
1851,"Мама вышла замуж за вегетарианца. Она начала придерживаться его взглядов и заставляла меня отказаться от еды животного происхождения. Точнее, не она прям, а отчим через маму. Мама не работала, но всегда покупала дорогие продукты, а мне говорила, что мой папа не платит алименты, поэтому она не может купить мне новый рюкзак. Мне было 13 лет, за полгода похудела на 14 кг и весила 30 кг, голова кружилась постоянно. Потом меня забрал папа, и я узнала, что алименты были, но мама на них покупала еду для своего мужа.

#Подслушано_ебанько@overhear"
1852,"Я не могу рожать детей, а всегда мечтала о семье. Пока не решаюсь на ребёнка из приюта, занимаюсь образованием, так как хочу сменить вид деятельности, потратить время с пользой. Мои подруги родили, но они были в курсе проблемы, сначала поддерживали. Теперь же у них общие без меня посиделки с детьми, поездки на дачи и всё такое. Извиняются, что не зовут — это ""чтобы не травмировать"". Про учёбу не говорим — им скучно. А я осталась с мужем и учебниками, смотрю их фотографии в соцсети и реву о просранной дружбе.

#Подслушано_дружба@overhear"
1853,"У меня было довольно безрадостное детство. Из-за своей социофобии я не вливалась в коллектив начиная с детского сада. В школе, особенно в начальных классах, начали гнобить. Я сама не помню почти ничего, но мама рассказывала, что из-за шума я забиралась под парту и закрывала уши руками. Одноклассники эту парту обступали и начинали пинать меня ногами. Дошло до разборок и школьного психолога. В старших классах меня просто игнорировали, пока не влилась в ""правильную"" компанию, где трое из четырёх ребят унижали ""в шутку"". В пятнадцать лет начала встречаться с мальчиком. Через полтора года узнала про его неоднократные попытки мне изменить. Простить пыталась, но он ушёл к другой со словами: ""Ты мне не доверяешь"". 
Прошло уже четыре года с выпуска из школы, и того молодого человека я не видела два года. Теперь у меня всё хорошо, но я периодически вспоминаю эти события и злюсь так, что у меня сразу появляется мотивация и дальше пахать, как лошадь, на благо своего будущего! Посмотрим, суки, кто где будет через десять лет.

#Подслушано_ненависть@overhear"
1854,"Построили в лесу землянку. Так как с деньгами было сложно, не хватало денег на крышу; друг вспомнил, что у него есть бронированное стекло, четыре квадрата. Накрыли стекло. Каждый раз намываем до блеска, зимой — спиртом. 
Однажды ночью зимой приехали, а там свет. Дальнобойщик сломался, пошёл через лес, увидел дом, зашёл погреться. Столько историй рассказал за ночь! А однажды зашли летом, а там пять ящиков разных тушёнок и три бутылки виски. А на двери селфи с этим дальнобойщиком и номер телефона — на обратке заедет!

#Подслушано_добро@overhear"
1855,"Когда было мне 10-12 лет, ходили с друзьями на гору, а снизу трасса была, и мы кидали камушки маленькие и большие. Тогда это весело было, а сейчас понимаю, каких же я люлей сам себе навешал бы за это! Жаль фуры с прицепами 😩

#Подслушано_стыдно@overhear"
1856,"У меня проблема. Я девушка и постоянно думаю о сексе. Мне постоянно хочется мастурбировать и кончать. Что бы я ни делала, куда бы ни пошла… Мне кажется, что я дрочила уже везде: в метро, в поезде в плацкарте, в кино, парке, ресторане. У меня нет парня, справляюсь сама. Но это жутко мешает. После того, как кончу, меня отпускает часа на три, а потом я снова не могу ни о чём думать, пока не уединюсь и не получу оргазм. Так и живу.

#Подслушано_пошлое@overhear"
1857,"Как-то снимала квартиру с подругой. Прихожу с работы, а она жалуется: ""Задавила двух огромных тараканов размером с палец"". Насекомых она боится; я подумала, что преувеличила. Всю ночь мне казалось, что по мне кто-то бегает. ""Да это самовнушение"", — подумала я, она так красочно описывала... Как бы не так: утром увидела на стене жирного мадагаскарика. Чуть позже пришли соседи сверху: они их разводят, оказывается. В пылу ссоры разбили несколько террариумов. Попросили вернуть, если увидим. Упс...

#Подслушано_соседи@overhear"
